id;checkout_id;product_id;batch_id;quantity;cost_price;status;expires_at;consumed_order_item_id;created_at;updated_at
65684b46-d666-4ec5-9573-42f7fcb04b9f;ac1a77cc-a984-4803-a015-e1ffa4555c5d;a41fd92b-20fb-4a08-916a-4e5c6be45985;671a6241-00bc-49d6-a710-32db18c1fa1e;1;54126.92;released;2026-05-09 10:16:00.255126+00;;2026-05-09 09:56:00.255126+00;2026-05-09 10:02:08.082787+00
45692f58-50d7-40a7-93ba-b519a50f8b6f;9e52f095-8199-4c6e-8e4f-1a1c0e3cdbbf;950a5c11-3bad-43c2-ab68-11ba555e18b5;92c039d9-ed3d-49d3-8fb7-86f8c32de3e8;1;51722.11;released;2026-05-09 10:09:33.149918+00;;2026-05-09 09:49:33.149918+00;2026-05-09 10:02:08.082787+00
02a3b330-d8c9-425f-bbb6-84e2fb3a2d1e;37e8cf81-e234-4354-a9f2-af380c824714;950a5c11-3bad-43c2-ab68-11ba555e18b5;92c039d9-ed3d-49d3-8fb7-86f8c32de3e8;1;51722.11;released;2026-05-09 10:25:14.926065+00;;2026-05-09 10:05:14.926065+00;2026-05-09 10:05:29.907644+00
82a4ba77-8fd7-4167-b29e-8dea9e176f11;d303d4a0-46cb-4e4f-839d-61d6e3ff6af5;950a5c11-3bad-43c2-ab68-11ba555e18b5;92c039d9-ed3d-49d3-8fb7-86f8c32de3e8;1;51722.11;released;2026-05-09 10:42:08.944048+00;;2026-05-09 10:22:08.944048+00;2026-05-09 10:36:14.328669+00
b7ae2b9b-4150-418a-b32c-1e4691109497;1c59ae01-9f18-45c2-a9d8-0e5435cd945b;950a5c11-3bad-43c2-ab68-11ba555e18b5;92c039d9-ed3d-49d3-8fb7-86f8c32de3e8;1;51722.11;expired;2026-05-09 11:06:44.61938+00;;2026-05-09 10:36:44.61938+00;2026-05-09 11:09:00.114518+00
2239e920-9d5b-41e2-94f7-3d097cd8f2d5;adafb21f-1386-4c1e-8a1c-0adb82925fc6;d7516988-ca63-4a17-9967-fb1466e91183;072e3058-c671-4a54-9d8e-7efa97c622d9;1;139649.7;expired;2026-05-11 08:11:13.187774+00;;2026-05-11 07:41:13.187774+00;2026-05-11 08:12:00.196382+00
4762fd99-532d-479b-80f9-c62c36ca8276;97fadc09-e690-418e-bfa3-609aa9ab6dab;2212b959-cb8a-433a-a9eb-cf9bf066739a;63a1659c-477f-493d-83d3-e9f554bdbb5d;1;2068.88;expired;2026-05-17 11:27:45.650666+00;;2026-05-17 10:57:45.650666+00;2026-05-17 11:30:00.019428+00
c2d69319-406e-4da6-8f6a-99c2215a1bfd;43ee7d42-f40a-404a-a80d-d557793cf4f4;6cd133de-c5b9-4d40-8ff3-101855e3242d;370491f0-3cdc-4dd1-afc0-63acde2c7049;1;15000;released;2026-05-17 20:07:36.31619+00;;2026-05-17 19:37:36.31619+00;2026-05-17 19:37:36.598783+00
4926b3cc-d372-487c-8d39-4f9f40be1ec4;4f72eebd-276d-450f-bd2e-eded15327a3c;6cd133de-c5b9-4d40-8ff3-101855e3242d;370491f0-3cdc-4dd1-afc0-63acde2c7049;1;15000;released;2026-05-17 20:07:52.113808+00;;2026-05-17 19:37:52.113808+00;2026-05-17 19:37:52.244803+00
bb0635ef-6ea0-434e-8b61-18837ad5fafb;736c235e-166c-464a-b128-94759f42c962;fea2ec33-4d27-42d1-bb65-179fc07242be;f15580e3-e381-4fbf-9b3d-c2c15290a54d;1;148889.47;expired;2026-05-26 09:07:18.837188+00;;2026-05-26 08:37:18.837188+00;2026-05-26 09:09:00.072362+00
