id;name;description;price;original_price;category;collection;stock;status;images;rating;reviews_count;variations;created_at;updated_at;specifications;cost_price
22f39514-16bb-4b17-aeeb-0cbc5d85eeb5;6.5L Panasonic Airfryer;Spacious 6.5-litre air fryer. Designed for fast, even cooking with little or no oil, it’s perfect for frying, baking, roasting, and grilling.;55000;;Appliances;General;2;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769518458870-s0k5f0z5y8s.jpeg""]";0;0;;2026-01-27 12:55:05.984049+00;2026-04-27 11:37:39.218654+00;"[{""key"":""Capacity"",""value"":""6.5l""}]";36000
51018d12-7f8e-4399-bbcb-9fa29f6bec09;Dz5110 Granite Pot Set;stylish and durable cookware set designed for efficient everyday cooking. Features a premium granite non-stick coating for easy cooking and cleaning, with even heat distribution for great results.;80000;;Cookware;General;1;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769518880436-wqjk9qw72.jpeg""]";0;0;;2026-01-27 13:01:38.714152+00;2026-05-13 15:09:12.681046+00;;56894.32
2a06cc07-99cf-4eee-880a-0fcac531e550;Vmigo 5pcs pot set;Vmigo pot ;165000;;Cookware;General;3;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1776786043987-m4k4h3pkoq.jpeg""]";0;0;;2026-04-21 15:22:12.907357+00;2026-04-28 10:48:22.737661+00;;118960.86
a774fef2-cd36-41a2-88ed-d98812433e7c; 5L Giftmaster Whistling Kettle;"large 5-litre stainless steel kettle. Comes in beautiful, attractive colours and features a loud whistle to alert you when the water is ready. Durable, fast-heating, and perfect for home or office use.
";15000;;Cookware;General;20;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1776788884648-7gfzaovy909.jpeg""]";0;0;;2026-01-27 12:41:36.841902+00;2026-05-21 14:07:33.350011+00;"[{""key"":""Capacity"",""value"":""5.0 L""}]";8641.67
d98c987b-4956-4639-8d73-e25d53543dfb;2.5L Kenwood Blender;Powerful and spacious blender with a 2.5-litre capacity, perfect for blending smoothies, soups, sauces, and more. Designed for efficient performance and smooth results, it’s durable & easy to use.;40000;;Appliances;General;2;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769516327663-9j065zijwmu.jpeg""]";0;0;;2026-01-27 12:19:07.416427+00;2026-05-21 14:15:10.966403+00;;21712.39
a605ee72-5d0e-47d4-b70a-fa06cf8d2d96;6PCS ALUMIUM POT SET;Original Aluminium pot set for fast and even heat distribution, this set is perfect for preparing a variety of meals.;95000;;Cookware;General;2;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1775643513570-rk1bsl0w63r.jpeg""]";0;0;;2026-04-07 15:39:02.513929+00;2026-05-18 09:10:21.275021+00;;64500
07672864-ed5e-4adf-bd41-63e5dd585579;MAxi 50by50 Oven & Gas;A versatile and powerful kitchen appliance combining an oven and gas cooker in one. Perfect for baking, roasting, and cooking a variety of meals efficiently. Durable, easy to use, and ideal for home kitchens looking for convenience and style.;180000;;Cookware;General;2;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1773845023566-393jx02n7pz.jpeg""]";0;0;;2026-01-27 12:13:51.707521+00;2026-04-28 10:48:22.737661+00;;150454.84
00d42f96-49dc-456a-ba98-089cb3aae3eb;Sumo Frypan;Sumo Frypan;10000;;Cookware;General;0;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1778684332802-hvly55l0tyc.webp""]";0;0;;2026-05-13 15:00:21.467805+00;2026-05-13 15:09:12.374737+00;;5000
d2deab8e-09e8-4dce-99f5-093acac1f044;11pcs Cast Iron Pot;A heavy-duty cookware set designed for excellent heat retention and even cooking.;300000;;Cookware;General;1;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769516695402-fm6kw4ej8i7.jpeg""]";0;0;;2026-01-27 12:25:02.726156+00;2026-01-27 12:25:02.726156+00;;235000
3ab861db-da7c-45d9-8759-c6a29ff2a7c0;6.5L Silvercrest Airfryer;Spacious 6.5-litre air fryer. Designed for fast, even cooking with little or no oil, it’s perfect for frying, baking, roasting, and grilling.;55000;;Appliances;General;6;active;"[""https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769518163015-u7vimguo20s.jpeg""]";0;0;;2026-01-27 12:50:05.026748+00;2026-05-19 08:44:07.929094+00;"[{""key"":""Capacity"",""value"":""6.5L""}]";36000
