id;order_id;product_id;product_name;product_image;quantity;price;variation;created_at;from_reservation
c9711333-1438-475a-82b8-e55025749dfc;e0b0aef5-7a49-44ea-946e-663684508d0b;fc973660-f02b-4fed-9a78-df73df2f9f3c;Gold Mirror Mug;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769595627117-k6jlx03qmv.jpeg;1;5000;;2026-02-11 13:56:28.37339+00;false
a641488f-3bb5-4097-bdae-d558ecb09369;63f353a2-5bf9-4107-b395-8d714cfe6235;596054f5-6b48-4951-ab51-12e81d2efc63;Big Foam Sponge;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769519501541-z0givpv9fr.jpeg;1;500;;2026-02-11 14:05:46.45563+00;false
b25a1c06-3f19-4aca-8684-e2f5f668f1cf;38c4fc26-5a54-4246-9caa-f2fdeeab22bd;6ac54497-bd1e-4fe6-b122-f99ade2a284d;Oil Spray Bottle;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769594732887-dkvvez1zgpa.jpeg;1;5000;;2026-02-11 14:12:14.294308+00;false
34be291b-11f6-4fff-b209-dda0736f9406;94faa320-c564-4f88-8234-8d7a6538ba14;c8f2c08c-e738-473b-9d6f-c852e1992b38;Crownstar Knife Set;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1771231121028-dftrmtn80yd.jpeg;1;14000;;2026-02-27 16:26:38.208858+00;false
b1a38c32-1069-457a-9a36-68f4b2d4c082;2a386f67-834c-4a82-9f28-06849eb6a3e1;5cd2731c-ac43-4493-b726-9e87c3ef361a;Cookware Cleaner;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1769519283137-98wkdis2kv.jpeg;1;4500;;2026-02-27 16:33:56.984857+00;false
ec9b592e-516a-481c-b971-790280872770;29ce39ca-3cc9-4232-b0e4-515f91915b8c;b3cb412f-c80c-417f-9301-30b808573139;Parchment Paper;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1770911034972-41q8z7xnbc5.jpeg;1;3500;;2026-02-27 16:49:41.26916+00;false
31e9cca0-746c-4238-babc-70304811c4a2;f09b9a6c-3e0d-4ae4-b026-6497e34fe963;b3cb412f-c80c-417f-9301-30b808573139;Parchment Paper;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1770911034972-41q8z7xnbc5.jpeg;1;3500;;2026-03-06 14:45:44.881123+00;false
f9abb8fa-ba57-48f7-b157-04e0d41a38f4;e63d1e08-3056-4f0c-a8c5-db81f3e9b843;b3cb412f-c80c-417f-9301-30b808573139;Parchment Paper;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1770911034972-41q8z7xnbc5.jpeg;1;3500;;2026-03-06 14:51:53.059367+00;false
34757a7d-6632-4405-8384-59a4191c3727;e6506922-1355-4b82-b636-6e8b6d0e0615;b3cb412f-c80c-417f-9301-30b808573139;Parchment Paper;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1770911034972-41q8z7xnbc5.jpeg;1;3500;;2026-03-06 15:01:05.488853+00;false
c4087987-ec43-41ac-8155-4e5b3d2ad49f;65f09ddf-4ddf-4ad3-9782-ccc9afd6e875;b3cb412f-c80c-417f-9301-30b808573139;Parchment Paper;https://uqvbzzuoxnohuhkasrdk.supabase.co/storage/v1/object/public/product-images/products/1770911034972-41q8z7xnbc5.jpeg;1;3500;;2026-03-06 15:07:24.490087+00;false
