id;order_item_id;batch_id;quantity;cost_price_at_time;created_at
e5eeb365-7b89-4167-860e-953b96341d49;289d9b38-1453-4664-a35a-5b81fd51e495;7e393be0-f173-49df-b778-218fe635adac;1;18000;2026-01-29 14:40:56.10619+00
379d55ce-7741-47bc-be28-198e2f938918;15af4f3f-21b5-4bbc-ade7-590ca486cf10;8ef92393-c848-4eae-bd04-a4b8cb53e546;1;9000;2026-01-29 14:40:56.10619+00
ef9f8c99-3996-4b51-acdc-c9ccc4b38a9d;12809cd2-3d70-4dc7-9fba-e4ececa15c7c;5ba419b7-6d2a-47ac-a1ea-4791f9124eaf;1;19000;2026-01-29 14:40:56.10619+00
c47d6b0a-f993-475c-93a8-74d0e2ace216;55f53ae8-afc2-4ce2-be5e-641beaf348ba;0331eb20-9bf4-4440-8036-9d96cf44c0c9;1;68000;2026-01-29 14:40:56.10619+00
787ebdec-56c6-40b5-b30f-a61e4ea86cc4;cde41979-e4a9-40a2-95c3-ab2ddbc91542;983cfb40-df44-40e5-8bd8-45979971db4f;1;62231.5;2026-01-29 14:40:56.10619+00
608c4da2-777e-4619-bd33-4f7c86189433;4475957f-7446-43c2-80b4-80f556563e5e;7b8b8c82-d4c9-43d2-9241-5c8e1fc44b30;1;77250;2026-01-29 14:40:56.10619+00
3fe0af1b-f0b5-4b59-b700-6a2d6f68ab59;ce6e8959-fd9b-4022-935b-8da366c2dbc2;c2be27a6-ca8c-47f4-b8fd-748004d450b1;1;38447.97;2026-01-29 14:40:56.10619+00
d09a68ef-1a31-4f23-abdf-f27989f9e23c;dababc60-51c4-40c5-b5a2-bc4478b83c39;ebacc68d-0a7a-4a5c-a9b5-424a7fbd12e9;1;33152.11;2026-01-29 14:40:56.10619+00
8744134f-6ec1-4588-b622-0543e2d631b5;115de6ee-35f1-4201-8870-7bccd9ad3a1b;a2ae9f2c-b683-46b2-81dd-c7721a7adf13;1;33000;2026-01-29 14:40:56.10619+00
a0308953-5010-4460-9c9d-6adf2d7453d5;38c017c1-a4b2-4e71-8eb9-8dbb3adb19fd;eac58b35-e08a-4ed8-be3f-671967dbd9d8;1;33000;2026-01-29 14:40:56.10619+00
8be169ef-7912-4770-a313-08f3020e28e5;21908bd6-6e34-43e0-ba77-5b0e1642c580;596cc394-4d22-49d9-b6ec-74a03cbfea58;1;17000;2026-01-29 14:43:33.964296+00
d84f3b41-82b8-411b-9f15-09f3a2ddc4e1;fbb9c7c9-53fd-445b-b10a-bd8845757184;983cfb40-df44-40e5-8bd8-45979971db4f;1;62231.5;2026-01-29 14:51:26.162184+00
f0321d97-156e-4796-843f-93423adb7051;083696dd-583d-45c8-b572-08878ed100c6;e20bcd8e-0883-4bcb-8692-3e6c7e9a1d1b;1;23733.2;2026-01-29 14:52:50.485044+00
b6437cb6-558b-4931-8ac1-d6c94aad2e26;20803fa4-a137-4e37-8e77-842173a8c6d1;d32a46a8-7643-4470-8ee0-3667a564097a;1;317;2026-02-09 10:21:53.077736+00
05ae880c-791e-44ff-a0aa-ad8f40b33fe4;f9040caf-12a4-4f69-a4e6-846a1be73559;15316a21-fa97-4167-96e7-56bfbd2dec0e;1;2750;2026-02-10 08:23:04.184027+00
